Model,Dataset,MRR,MAP
Token_matching_score,codec,0.193993767,0.830590232
Token_matching_score,zxing,0.557673707,0.994220484
Token_matching_score,swarm,0.471206644,0.992220894
Token_matching_score,weaver,0.081632653,0.98466277
Token_matching_score,swt,0.217095402,0.970399796
Overall_score,codec,0.84508547,0.166666667
Overall_score,zxing,0.675999564,0.118728334
Overall_score,swarm,0.421715646,0.029411765
Overall_score,weaver,0.416666667,0.255208176
Overall_score,swt,0.757345833,1.0
Semantic_similarity_score,codec,0.028431886,0.981605265
Semantic_similarity_score,zxing,0.134890194,0.997659249
Semantic_similarity_score,swarm,0.019390483,0.99804626
Semantic_similarity_score,weaver,0.079004329,0.982911311
Semantic_similarity_score,swt,0.022469721,0.997406471
VSM_similarity_score,weaver,0.75,0.63941341
VSM_similarity_score,codec,0.657787698,0.808598638
VSM_similarity_score,swarm,0.605294514,0.654434008
VSM_similarity_score,zxing,0.073198945,0.896098564
VSM_similarity_score,swt,0.040684836,0.786149983
